Name;Age;Nationality;CC;Overall;Value (EUR);Wage per week (EUR);Preferred Foot;Position;Field
N. Barazite;28;Netherlands;NLD;73;4000000;13000;Right;CAM;Midfield
S. Kapino;24;Greece;GRC;73;3900000;13000;Right;GK;Defense
L. Gil;27;Argentina;ARG;73;3800000;13000;Left;RDM;Midfield
Ricardo;31;Portugal;PRT;73;3600000;13000;Right;ST;Attack
Z. Tomašević;28;Montenegro;MNE;73;3600000;13000;Left;CB;Defense
Djalma;31;Angola;AGO;73;3500000;13000;Right;LM;Midfield
Douglas Armeira;26;Brazil;BRA;73;3400000;13000;Right;RB;Defense
F. Rinaudo;31;Argentina;ARG;73;3400000;13000;Right;RCM;Midfield
M. Sperduti;32;Argentina;ARG;73;3100000;13000;Right;RM;Midfield
A. McGeady;32;Republic of Ireland;IRL;73;3100000;13000;Right;LM;Midfield
F. Cacciatore;31;Italy;ITA;73;2600000;13000;Right;RB;Defense
Miguel Veloso;32;Portugal;PRT;73;2300000;13000;Left;CDM;Midfield
W. Montillo;34;Argentina;ARG;73;2000000;13000;Right;CAM;Midfield
J. Al Hussien;35;Syria;SYR;73;1800000;13000;Right;CAM;Midfield
Riesgo;34;Spain;ESP;73;1600000;13000;Right;GK;Defense
Benjamin Meseira;34;Brazil;BRA;73;1100000;13000;Right;RB;Defense
Oswaldito Cuba;34;Brazil;BRA;73;1100000;13000;Left;LB;Defense
Mauro Cildinho;34;Brazil;BRA;73;1100000;13000;Right;RB;Defense
Ferrán Torres;18;Spain;ESP;73;7000000;12000;Right;RM;Midfield
J. Koundé;19;France;FRA;73;6500000;12000;Right;RCB;Defense
W. Saïd;23;France;FRA;73;5500000;12000;Right;LM;Midfield
L. Janson;23;Argentina;ARG;73;5500000;12000;Right;CF;Attack
F. Soldano;23;Argentina;ARG;73;5500000;12000;Right;ST;Attack
G. Saville;25;Northern Ireland;IRL;73;4900000;12000;Left;LCM;Midfield
A. Acquah;26;Ghana;GHA;73;4600000;12000;Right;LCM;Midfield
J. Fleck;26;Scotland;GBR;73;4600000;12000;Left;LCM;Midfield
T. Foket;23;Belgium;BEL;73;4500000;12000;Right;RB;Defense
B. Bolingoli;23;Belgium;BEL;73;4500000;12000;Left;LB;Defense
J. Gómez;24;Argentina;ARG;73;4500000;12000;Right;RB;Defense
Y. Gómez Andrade;26;Colombia;COL;73;4000000;12000;Right;CB;Defense
Amilton;28;Brazil;BRA;73;4000000;12000;Right;RW;Attack
N. Isimat-Mirin;26;France;FRA;73;3900000;12000;Right;CB;Defense
S. Dewaest;27;Belgium;BEL;73;3800000;12000;Right;RCB;Defense
R. van Rhijn;27;Netherlands;NLD;73;3700000;12000;Right;RB;Defense
S. Rybalka;28;Ukraine;UKR;73;3600000;12000;Right;LDM;Midfield
E. Mendy;26;Senegal;SEN;73;3500000;12000;Right;GK;Defense
S. Hutchinson;27;England;GBR;73;3400000;12000;Right;RCB;Defense
P. Schiattarella;31;Italy;ITA;73;3400000;12000;Right;CM;Midfield
S. Wuytens;28;Belgium;BEL;73;3200000;12000;Left;CB;Defense
L. Koné;29;Ivory Coast;CIV;73;3100000;12000;Right;LCB;Defense
Nildo Petrolina;32;Brazil;BRA;73;3100000;12000;Left;LW;Attack
Luis Couprins;30;Brazil;BRA;73;3000000;12000;Right;RDM;Midfield
A. Büttner;29;Netherlands;NLD;73;3000000;12000;Left;LB;Defense
S. Williams;31;Republic of Ireland;IRL;73;2700000;12000;Left;CDM;Midfield
S. Prediger;31;Argentina;ARG;73;2700000;12000;Right;LDM;Midfield
G. Arias;30;Chile;CHL;73;2600000;12000;Right;GK;Defense
Pietrson Mendes;34;Brazil;BRA;73;2000000;12000;Left;CAM;Midfield
N. Navarro;33;Argentina;ARG;73;2000000;12000;Left;GK;Defense
L. Pisculichi;34;Argentina;ARG;73;2000000;12000;Left;CAM;Midfield
J. Gutiérrez;34;Argentina;ARG;73;1900000;12000;Right;CM;Midfield
S. von Bergen;35;Switzerland;CHE;73;950000;12000;Right;LCB;Defense
Y. Ayhan;36;Turkey;TUR;73;550000;12000;Right;RCB;Defense
B. Fernández;23;Argentina;ARG;73;5500000;11000;Right;ST;Attack
B. Ramselaar;22;Netherlands;NLD;73;5500000;11000;Right;CAM;Midfield
R. Krunić;24;Bosnia Herzegovina;MKD;73;5500000;11000;Right;RCM;Midfield
A. Browne;23;Republic of Ireland;IRL;73;5500000;11000;Right;CAM;Midfield
Y. Asad;23;Argentina;ARG;73;5500000;11000;Right;LM;Midfield
Serginho;24;Brazil;BRA;73;5500000;11000;Left;ST;Attack
S. Araujo;26;Argentina;ARG;73;5000000;11000;Right;LF;Attack
Eduardo;25;Brazil;BRA;73;4900000;11000;Left;CM;Midfield
U. Agbo;22;Nigeria;NGA;73;4800000;11000;Right;CDM;Midfield
F. Barba;24;Italy;ITA;73;4700000;11000;Left;LB;Defense
R. Bezus;27;Ukraine;UKR;73;4200000;11000;Right;CM;Midfield
Diego Oliveira;28;Brazil;BRA;73;4100000;11000;Right;ST;Attack
M. Britos;29;Uruguay;URY;73;4000000;11000;Left;ST;Attack
I. Baldé;29;Senegal;SEN;73;4000000;11000;Right;ST;Attack
Cristiano;31;Brazil;BRA;73;3600000;11000;Right;LS;Attack
D. Jensen;26;Denmark;DNK;73;3500000;11000;Right;GK;Defense
G. Toledo;28;Argentina;ARG;73;3200000;11000;Right;RB;Defense
K. Lamprou;26;Greece;GRC;73;3200000;11000;Left;GK;Defense
Marcos Paneira;30;Brazil;BRA;73;3000000;11000;Right;LDM;Midfield
Juli Piresinho;30;Brazil;BRA;73;2900000;11000;Right;RB;Defense
David Braz;31;Brazil;BRA;73;2700000;11000;Right;LCB;Defense
J. Djourou;31;Switzerland;CHE;73;2700000;11000;Right;CB;Defense
F. Chafik;31;Morocco;MAR;73;2600000;11000;Right;RB;Defense
Pierrino Faria;30;Brazil;BRA;73;2600000;11000;Right;GK;Defense
O. Veigneau;32;France;FRA;73;2200000;11000;Left;LB;Defense
A. Maier;19;Germany;DEU;73;7500000;10000;Right;LDM;Midfield
G. Chakvetadze;18;Georgia;GEO;73;7000000;10000;Right;LM;Midfield
Ivo Rodrigues;23;Portugal;PRT;73;5500000;10000;Right;RW;Attack
M. Santos;25;Uruguay;URY;73;5000000;10000;Right;ST;Attack
F. Vicari;23;Italy;ITA;73;5000000;10000;Right;CB;Defense
G. Jung;23;Germany;DEU;73;4800000;10000;Right;CB;Defense
J. O'Connell;24;England;GBR;73;4800000;10000;Left;LCB;Defense
G. Blanco;26;Argentina;ARG;73;4800000;10000;Right;LS;Attack
L. Rosić;25;Serbia;SRB;73;4500000;10000;Right;CB;Defense
D. Luckassen;22;Netherlands;NLD;73;4400000;10000;Right;CB;Defense
V. Karavaev;23;Russia;RUS;73;4300000;10000;Right;RB;Defense
Perdigão;26;Brazil;BRA;73;4300000;10000;Right;RW;Attack
André Martins;28;Portugal;PRT;73;4000000;10000;Right;LDM;Midfield
Marc Mateu;28;Spain;ESP;73;4000000;10000;Left;LB;Defense
T. Elyounoussi;30;Norway;NOR;73;3900000;10000;Right;LM;Midfield
C. Santos;30;Venezuela;VEN;73;3900000;10000;Left;ST;Attack
Omar Ramos;30;Spain;ESP;73;3800000;10000;Left;RM;Midfield
D. Roef;24;Belgium;BEL;73;3700000;10000;Right;GK;Defense
André Geraldes;27;Portugal;PRT;73;3700000;10000;Right;RB;Defense
Yan Junling;27;China PR;CHN;73;3400000;10000;Right;GK;Defense
A. Ramos;32;Colombia;COL;73;3200000;10000;Right;ST;Attack
B. Bianchi;29;Argentina;ARG;73;3100000;10000;Right;RCB;Defense
Jaim Abra;26;Brazil;BRA;73;2800000;10000;Right;GK;Defense
A. Domínguez;31;Ecuador;ECU;73;2400000;10000;Right;GK;Defense
C. Rigamonti;31;Argentina;ARG;73;2400000;10000;Right;GK;Defense
D. Vukovic;33;Australia;AUS;73;2000000;10000;Right;GK;Defense
Nivo Serpinho;34;Brazil;BRA;73;1600000;10000;Left;GK;Defense
J. Van Damme;34;Belgium;BEL;73;1200000;10000;Left;LCB;Defense
J. Drobný;38;Czech Republic;CZE;73;270000;10000;Right;GK;Defense
E. Palacios;19;Argentina;ARG;73;7000000;9000;Right;LCM;Midfield
Bruno Xadas;20;Portugal;PRT;73;7000000;9000;Left;RM;Midfield
Galeno;20;Brazil;BRA;73;7000000;9000;Right;LW;Attack
J. Mišić;24;Croatia;HRV;73;5500000;9000;Right;CM;Midfield
M. Wöber;20;Austria;AUT;73;5000000;9000;Left;CB;Defense
J. Mæhle;21;Denmark;DNK;73;5000000;9000;Right;RB;Defense
R. Lod;25;Finland;FIN;73;5000000;9000;Left;RM;Midfield
S. Salcedo;20;Paraguay;PRY;73;4900000;9000;Right;RCB;Defense
J. Ito;25;Japan;JPN;73;4900000;9000;Right;RM;Midfield
L. Freeman;26;England;GBR;73;4700000;9000;Left;LM;Midfield
João Amaral;26;Portugal;PRT;73;4300000;9000;Left;RM;Midfield
Salvi Sánchez;27;Spain;ESP;73;4200000;9000;Right;RM;Midfield
Carlos Hernández;27;Spain;ESP;73;3800000;9000;Right;LCB;Defense
T. Leistner;27;Germany;DEU;73;3800000;9000;Right;RCB;Defense
Juan Villar;30;Spain;ESP;73;3800000;9000;Right;RM;Midfield
A. Baumjohann;31;Germany;DEU;73;3500000;9000;Right;CAM;Midfield
Sergio Tejera;28;Spain;ESP;73;3200000;9000;Left;RCM;Midfield
Rúben Ferreira;28;Portugal;PRT;73;3200000;9000;Left;LB;Defense
Bóveda;29;Spain;ESP;73;3000000;9000;Right;RB;Defense
J. Forlín;30;Argentina;ARG;73;3000000;9000;Right;CB;Defense
F. Tissone;31;Argentina;ARG;73;2700000;9000;Right;CDM;Midfield
S. Larsson;33;Sweden;SWE;73;2300000;9000;Right;RCM;Midfield
R. Nuzzolo;34;Switzerland;CHE;73;2100000;9000;Left;ST;Attack
M. Leye;35;Senegal;SEN;73;1800000;9000;Right;ST;Attack
Edinho;35;Portugal;PRT;73;1800000;9000;Right;ST;Attack
L. Burián;34;Uruguay;URY;73;1600000;9000;Right;GK;Defense
M. Mantovani;33;Argentina;ARG;73;1600000;9000;Right;CB;Defense
B. Cesar;35;Slovenia;SVN;73;950000;9000;Left;CB;Defense
J. Gandolfi;37;Argentina;ARG;73;550000;9000;Right;CB;Defense
J. Añor;24;Venezuela;VEN;73;5500000;8000;Left;RM;Midfield
A. Zeneli;23;Kosovo;MKD;73;5000000;8000;Right;LM;Midfield
Y. Namli;24;Denmark;DNK;73;5000000;8000;Left;RM;Midfield
G. Zardes;26;United States;USA;73;4800000;8000;Right;ST;Attack
M. Urruti;27;Argentina;ARG;73;4700000;8000;Right;CAM;Midfield
Carlos Ponck;23;Cape Verde;CPV;73;4500000;8000;Right;RCB;Defense
J. St. Juste;21;Netherlands;NLD;73;4500000;8000;Right;RB;Defense
Frederico Venâncio;25;Portugal;PRT;73;4300000;8000;Right;CB;Defense
Gerso;27;Guinea Bissau;CIV;73;4200000;8000;Left;RW;Attack
O. Opazo;27;Chile;CHL;73;4200000;8000;Right;LB;Defense
I. Arboleda;22;Colombia;COL;73;4100000;8000;Right;GK;Defense
E. Pavez;28;Chile;CHL;73;4000000;8000;Right;CM;Midfield
Víctor Rodríguez;28;Spain;ESP;73;4000000;8000;Right;LM;Midfield
A. Rodríguez;29;Colombia;COL;73;4000000;8000;Right;ST;Attack
Álex Pérez;26;Spain;ESP;73;4000000;8000;Right;RCB;Defense
Y. Yotún;28;Peru;PER;73;4000000;8000;Left;LDM;Midfield
Miguel Vieira;27;Portugal;PRT;73;3800000;8000;Right;RCB;Defense
H. Van Crombrugge;25;Belgium;BEL;73;3700000;8000;Left;GK;Defense
Paulinho;26;Portugal;PRT;73;3400000;8000;Right;RB;Defense
Caio Secco;27;Brazil;BRA;73;3200000;8000;Right;GK;Defense
C. Marrugo;32;Colombia;COL;73;3100000;8000;Right;CAM;Midfield
Abraham González;32;Spain;ESP;73;3000000;8000;Right;LDM;Midfield
Fabiano;30;Brazil;BRA;73;3000000;8000;Right;GK;Defense
M. Pazdan;30;Poland;POL;73;3000000;8000;Right;CB;Defense
Adrián González;30;Spain;ESP;73;3000000;8000;Left;LDM;Midfield
Lombán;31;Spain;ESP;73;2700000;8000;Right;CB;Defense
F. Lemoine;31;France;FRA;73;2700000;8000;Right;RCM;Midfield
P. Karlsson;32;Sweden;SWE;73;2300000;8000;Right;CB;Defense
Molinero;32;Spain;ESP;73;2200000;8000;Right;RB;Defense
Alex Bergantiños;33;Spain;ESP;73;1600000;8000;Right;CDM;Midfield
Aitor Sanz;33;Spain;ESP;73;1600000;8000;Right;CDM;Midfield
D. Pizarro;38;Chile;CHL;73;1300000;8000;Right;CM;Midfield
S. Schaars;34;Netherlands;NLD;73;1200000;8000;Left;CDM;Midfield
M. Demiral;20;Turkey;TUR;73;5500000;7000;Left;RCB;Defense
Diego Lopes;24;Brazil;BRA;73;5000000;7000;Right;CAM;Midfield
V. Qazaishvili;25;Georgia;GEO;73;4900000;7000;Right;LM;Midfield
Kim Seung Joon;23;Korea Republic;KOR;73;4900000;7000;Right;RW;Attack
Pedro Sá;24;Portugal;PRT;73;4800000;7000;Left;CDM;Midfield
Luis Milla;23;Spain;ESP;73;4800000;7000;Right;RCM;Midfield
V. García;24;Venezuela;VEN;73;4500000;7000;Right;RB;Defense
W. Kanon;24;Ivory Coast;CIV;73;4400000;7000;Left;LCB;Defense
M. Barrios;27;Colombia;COL;73;4200000;7000;Right;RM;Midfield
D. Nagbe;27;United States;USA;73;4100000;7000;Right;RDM;Midfield
A. Christiansen;28;Denmark;DNK;73;4000000;7000;Right;RCM;Midfield
Frédéric Mendy;29;Guinea Bissau;CIV;73;4000000;7000;Right;ST;Attack
F. Bachirou;28;Comoros;COM;73;4000000;7000;Right;CM;Midfield
R. Philippoteaux;30;France;FRA;73;3800000;7000;Right;LM;Midfield
S. Sunzu;29;Zambia;ZMB;73;3500000;7000;Right;RCB;Defense
D. Pérez;29;Argentina;ARG;73;3000000;7000;Left;LB;Defense
G. van der Wiel;30;Netherlands;NLD;73;3000000;7000;Right;RCB;Defense
C. Carmona;31;Chile;CHL;73;2700000;7000;Right;CDM;Midfield
M. Dituro;31;Argentina;ARG;73;2400000;7000;Right;GK;Defense
R. Nouri;33;France;FRA;73;2400000;7000;Right;LM;Midfield
C. Álvarez;32;Argentina;ARG;73;2300000;7000;Right;GK;Defense
H. Afful;32;Ghana;GHA;73;2200000;7000;Right;RB;Defense
J. Barroso;33;Argentina;ARG;73;1600000;7000;Right;CB;Defense
K. Nakamura;37;Japan;JPN;73;1300000;7000;Right;CAM;Midfield
R. Doan;20;Japan;JPN;73;7000000;6000;Left;RM;Midfield
Thiago Santana;25;Brazil;BRA;73;5000000;6000;Left;ST;Attack
D. Fagundez;23;Uruguay;URY;73;5000000;6000;Right;CAM;Midfield
Costinha;25;Portugal;PRT;73;4900000;6000;Right;CM;Midfield
C. Roldan;23;United States;USA;73;4700000;6000;Right;RM;Midfield
A. Long;25;United States;USA;73;4500000;6000;Right;RCB;Defense
T. Parker;25;United States;USA;73;4500000;6000;Right;CB;Defense
W. Trapp;25;United States;USA;73;4300000;6000;Right;CDM;Midfield
G. Poblete;25;Argentina;ARG;73;4200000;6000;Right;CDM;Midfield
S. Armenteros;28;Sweden;SWE;73;4100000;6000;Left;ST;Attack
M. Kanazaki;29;Japan;JPN;73;4000000;6000;Right;RS;Attack
Edgar Badía;26;Spain;ESP;73;3600000;6000;Right;GK;Defense
A. Hansen;28;Norway;NOR;73;3300000;6000;Right;GK;Defense
M. Langerak;29;Australia;AUS;73;3100000;6000;Right;GK;Defense
E. Johansson;29;Sweden;SWE;73;3100000;6000;Right;LCB;Defense
João Aurélio;29;Portugal;PRT;73;3000000;6000;Right;RB;Defense
V. Forren;30;Norway;NOR;73;3000000;6000;Left;LCB;Defense
R. Halliche;31;Algeria;DZA;73;2700000;6000;Right;CB;Defense
J. Lewis;30;England;GBR;73;2600000;6000;Right;GK;Defense
T. Reginiussen;32;Norway;NOR;73;2300000;6000;Right;LCB;Defense
R. Bengtsson;32;Sweden;SWE;73;2300000;6000;Right;CB;Defense
M. Rosenberg;35;Sweden;SWE;73;1800000;6000;Right;RS;Attack
J. Valdés;37;Chile;CHL;73;1300000;6000;Right;RCM;Midfield
S. Bertoli;40;Argentina;ARG;73;270000;6000;Right;GK;Defense
N. Penneteau;37;France;FRA;73;270000;6000;Left;GK;Defense
F. Aguilar;25;Colombia;COL;73;4800000;5000;Right;RCB;Defense
Guilherme;27;Brazil;BRA;73;4200000;5000;Left;RM;Midfield
S. Cárdenas;28;Colombia;COL;73;4000000;5000;Left;CAM;Midfield
S. Di Carmine;29;Italy;ITA;73;4000000;5000;Right;ST;Attack
Paulinho;32;Brazil;BRA;73;3100000;5000;Right;LW;Attack
V. Wormgoor;29;Netherlands;NLD;73;3100000;5000;Right;RCB;Defense
D. Braghieri;31;Argentina;ARG;73;2700000;5000;Left;LCB;Defense
G. Pazzini;33;Italy;ITA;73;2500000;5000;Right;ST;Attack
B. Guzan;33;United States;USA;73;2000000;5000;Left;GK;Defense
A. Rosina;34;Italy;ITA;73;2000000;5000;Left;RW;Attack
F. Manríquez;34;Chile;CHL;73;1900000;5000;Right;LCM;Midfield
L. Pocrnjic;36;Argentina;ARG;73;550000;5000;Right;GK;Defense
J. Herrera;37;Chile;CHL;73;270000;5000;Right;GK;Defense
E. Barco;19;Argentina;ARG;73;8500000;4000;Right;LM;Midfield
Y. Gordillo;26;Colombia;COL;73;4400000;4000;Right;LDM;Midfield
M. Rangel;27;Colombia;COL;73;4300000;4000;Right;ST;Attack
J. Duque;26;Colombia;COL;73;4300000;4000;Right;CDM;Midfield
O. Kragl;28;Germany;DEU;73;4000000;4000;Left;LM;Midfield
A. Ricaurte;26;Colombia;COL;73;4000000;4000;Left;LM;Midfield
F. Sambueza;29;Argentina;ARG;73;3900000;4000;Right;RM;Midfield
G. Cano;30;Argentina;ARG;73;3900000;4000;Right;RS;Attack
R. Elm;30;Sweden;SWE;73;3700000;4000;Right;RCM;Midfield
R. Pérez;28;Colombia;COL;73;3600000;4000;Right;RCB;Defense
F. Monetti;29;Argentina;ARG;73;3200000;4000;Right;GK;Defense
L. Bustamante;32;Argentina;ARG;73;3100000;4000;Right;CAM;Midfield
A. Rispoli;29;Italy;ITA;73;3000000;4000;Right;RM;Midfield
F. Lucioni;30;Italy;ITA;73;3000000;4000;Right;RCB;Defense
E. Terranova;31;Italy;ITA;73;2700000;4000;Right;RCB;Defense
Shin Hwa Yong;35;Korea Republic;KOR;73;950000;4000;Right;GK;Defense
Cifuentes;39;Spain;ESP;73;270000;4000;Right;GK;Defense
Bracali;37;Brazil;BRA;73;270000;4000;Right;GK;Defense
V. Cantillo;24;Colombia;COL;73;4800000;3000;Right;LDM;Midfield
N. Benedetti;21;Colombia;COL;73;7000000;2000;Right;CAM;Midfield
W. Faríñez;20;Venezuela;VEN;73;5000000;2000;Right;GK;Defense
G. Banguera;22;Colombia;COL;73;4700000;2000;Right;GK;Defense
F. Hinestroza;28;Colombia;COL;73;4000000;2000;Left;RM;Midfield
O. Pérez;37;Argentina;ARG;73;1300000;2000;Right;CAM;Midfield
D. Dainelli;39;Italy;ITA;73;270000;2000;Right;CB;Defense
Pedro Rocha;23;Brazil;BRA;73;5500000;1000;Right;LW;Attack
V. Shepelev;21;Ukraine;UKR;73;5500000;1000;Right;RDM;Midfield
A. Bakasetas;25;Greece;GRC;73;5000000;1000;Left;CAM;Midfield
A. Tashaev;24;Russia;RUS;73;5000000;1000;Right;LM;Midfield
P. Hrošovský;26;Slovakia;SVK;73;4900000;1000;Right;LDM;Midfield
H. Magnússon;25;Iceland;ISL;73;4500000;1000;Left;LB;Defense
F. Pardo;27;Colombia;COL;73;4200000;1000;Right;RM;Midfield
J. Šural;28;Czech Republic;CZE;73;4100000;1000;Right;RS;Attack
M. Gavranović;28;Switzerland;CHE;73;4100000;1000;Right;ST;Attack
V. Coufal;25;Czech Republic;CZE;73;4100000;1000;Right;RB;Defense
J. Kopic;28;Czech Republic;CZE;73;4000000;1000;Right;LM;Midfield
M. Ngadeu-Ngadjui;27;Cameroon;CMR;73;3900000;1000;Right;LCB;Defense
J. Kovařík;30;Czech Republic;CZE;73;3800000;1000;Left;LM;Midfield
J. Bořil;27;Czech Republic;CZE;73;3700000;1000;Right;LB;Defense
T. Hořava;30;Czech Republic;CZE;73;3700000;1000;Right;CAM;Midfield
M. Škoda;32;Czech Republic;CZE;73;3200000;1000;Right;ST;Attack
M. Rybus;28;Poland;POL;73;3200000;1000;Left;LB;Defense
Hélder Lopes;29;Portugal;PRT;73;3000000;1000;Left;LB;Defense
T. Matlaba;30;South Africa;ZAF;73;2900000;1000;Right;LB;Defense
Rodrigo Galo;31;Brazil;BRA;73;2600000;1000;Right;RB;Defense
K. Nababkin;31;Russia;RUS;73;2600000;1000;Right;LM;Midfield
V. Torosidis;33;Greece;GRC;73;1500000;1000;Right;RB;Defense
Douglas;27;Brazil;BRA;72;2600000;71000;Right;RB;Defense
Aleñá;20;Spain;ESP;72;6000000;58000;Left;CM;Midfield
Lucas Piazon;24;Brazil;BRA;72;4200000;55000;Right;RW;Attack
A. Cerri;22;Italy;ITA;72;4600000;54000;Right;ST;Attack
J. Hugill;26;England;GBR;72;3900000;51000;Right;ST;Attack
H. Wilson;21;Wales;GBR;72;5500000;48000;Left;RW;Attack
K. Omeruo;24;Nigeria;NGA;72;3700000;45000;Right;CB;Defense
C. Pinsoglio;28;Italy;ITA;72;2200000;44000;Left;GK;Defense
A. Tuanzebe;20;England;GBR;72;4700000;43000;Right;RCB;Defense
J. Mauri;22;Italy;ITA;72;4300000;43000;Right;CM;Midfield
H. Martín;25;Mexico;MEX;72;4000000;41000;Right;ST;Attack
M. James;26;England;GBR;72;3300000;41000;Right;CM;Midfield
Rui Fonte;28;Portugal;PRT;72;3200000;41000;Right;ST;Attack
S. Longo;26;Italy;ITA;72;3800000;40000;Right;ST;Attack
E. Martínez;25;Argentina;ARG;72;3000000;40000;Right;GK;Defense
J. Murphy;28;Scotland;GBR;72;3100000;39000;Right;LW;Attack
M. Frey;23;Switzerland;CHE;72;4300000;38000;Right;ST;Attack
K. Lafferty;30;Northern Ireland;IRL;72;3000000;38000;Right;ST;Attack
S. Byram;24;England;GBR;72;3300000;37000;Right;RB;Defense
S. Downing;33;England;GBR;72;1900000;36000;Left;RW;Attack
D. Verde;22;Italy;ITA;72;5000000;35000;Left;LW;Attack
J. Pohjanpalo;23;Finland;FIN;72;4200000;35000;Right;ST;Attack
A. Traoré;23;Mali;MLI;72;4100000;35000;Left;CM;Midfield
S. Uçan;24;Turkey;TUR;72;4100000;35000;Right;CM;Midfield
J. Kenny;21;England;GBR;72;3700000;35000;Right;RB;Defense
L. Reyes;27;Mexico;MEX;72;2900000;35000;Left;LB;Defense
R. Shotton;29;England;GBR;72;2400000;35000;Right;RB;Defense
J. Puncheon;32;England;GBR;72;2400000;35000;Left;CM;Midfield
A. Matri;33;Italy;ITA;72;2000000;35000;Right;ST;Attack
M. Trotta;25;Italy;ITA;72;3900000;34000;Left;ST;Attack
M. Waghorn;28;England;GBR;72;3200000;34000;Left;ST;Attack
J. Foyth;20;Argentina;ARG;72;5500000;33000;Right;CB;Defense
M. Kean;18;Italy;ITA;72;6500000;32000;Right;ST;Attack
J. Windass;24;England;GBR;72;4300000;32000;Right;CAM;Midfield
N. Powell;24;England;GBR;72;4100000;32000;Right;CAM;Midfield
F. Ceccherini;26;Italy;ITA;72;3400000;32000;Right;CB;Defense
A. Weimann;26;Austria;AUT;72;3400000;32000;Right;RS;Attack
C. Christie;25;Republic of Ireland;IRL;72;3200000;32000;Right;RCM;Midfield
J. Torres Nilo;30;Mexico;MEX;72;2200000;32000;Left;LCB;Defense
Y. Mulumbu;31;DR Congo;CIV;72;2100000;32000;Right;CDM;Midfield
P. Bardsley;33;Scotland;GBR;72;1200000;32000;Right;RB;Defense
D. Henderson;21;England;GBR;72;4200000;31000;Right;GK;Defense
B. Afobe;25;DR Congo;CIV;72;4100000;31000;Right;ST;Attack
F. Ricci;24;Italy;ITA;72;3900000;31000;Left;LW;Attack
R. van La Parra;27;Netherlands;NLD;72;3300000;31000;Right;LM;Midfield
B. Kayal;30;Israel;ISR;72;2900000;31000;Right;LCM;Midfield
J. Ruddy;31;England;GBR;72;1900000;31000;Right;GK;Defense
K. Zohore;24;Denmark;DNK;72;4200000;30000;Left;ST;Attack
E. Alioski;26;FYR Macedonia;MKD;72;3700000;30000;Left;LM;Midfield
M. Pack;27;England;GBR;72;3500000;30000;Right;LCM;Midfield
C. Galano;27;Italy;ITA;72;3300000;30000;Left;RS;Attack
D. Di Gennaro;30;Italy;ITA;72;2900000;30000;Left;CM;Midfield
F. Ceravolo;31;Italy;ITA;72;2800000;30000;Right;ST;Attack
J. Bennett;28;England;GBR;72;2500000;30000;Left;LB;Defense
E. Jakupović;33;Switzerland;CHE;72;1600000;30000;Right;GK;Defense
F. Peluso;34;Italy;ITA;72;875000;30000;Left;LB;Defense
B. Osborn;23;England;GBR;72;4300000;29000;Left;LM;Midfield
T. Lawrence;24;Wales;GBR;72;4300000;29000;Right;LM;Midfield
M. Sprocati;24;Italy;ITA;72;3900000;29000;Right;LW;Attack
H. Dalsgaard;28;Denmark;DNK;72;2500000;29000;Right;RB;Defense
I. Piris;29;Paraguay;PRY;72;2400000;29000;Right;RB;Defense
J. Dezi;26;Italy;ITA;72;3700000;28000;Right;CM;Midfield
A. Çalık;24;Turkey;TUR;72;3500000;28000;Right;CB;Defense
Romarinho;27;Brazil;BRA;72;3300000;28000;Right;ST;Attack
T. Letschert;25;Netherlands;NLD;72;3300000;28000;Right;RCB;Defense
S. Medina;26;Colombia;COL;72;3100000;28000;Right;RWB;Defense
R. Green;38;England;GBR;72;210000;28000;Right;GK;Defense
J. Murphy;23;England;GBR;72;4600000;27000;Right;RM;Midfield
C. Nørgaard;24;Denmark;DNK;72;3700000;27000;Right;CDM;Midfield
N. Baker;27;England;GBR;72;3000000;27000;Left;CB;Defense
S. Jung;28;Germany;DEU;72;2500000;27000;Right;RB;Defense
J. Ledley;31;Wales;GBR;72;2100000;27000;Left;CDM;Midfield
R. Keogh;31;Republic of Ireland;IRL;72;2100000;27000;Right;RCB;Defense
C. Mulgrew;32;Scotland;GBR;72;1800000;27000;Left;CB;Defense
Diogo Dalot;19;Portugal;PRT;72;4700000;26000;Right;RB;Defense
R. Pierre-Gabriel;20;France;FRA;72;4300000;26000;Right;RB;Defense
A. Mendy;24;France;FRA;72;4200000;26000;Right;ST;Attack
S. Sensi;22;Italy;ITA;72;3500000;26000;Right;CDM;Midfield
T. Kalas;25;Czech Republic;CZE;72;3400000;26000;Right;LCB;Defense
J. Jeanvier;25;France;FRA;72;3400000;26000;Right;CB;Defense
Patric;25;Spain;ESP;72;3200000;26000;Right;RB;Defense
M. Rzatkowski;28;Germany;DEU;72;3100000;26000;Left;CM;Midfield
W. Foderingham;27;England;GBR;72;2600000;26000;Left;GK;Defense
P. Billing;22;Denmark;DNK;72;4700000;25000;Left;LCM;Midfield
A. Zaldívar;24;Mexico;MEX;72;4200000;25000;Left;ST;Attack
S. Khaoui;23;Tunisia;TUN;72;4100000;25000;Left;CAM;Midfield
R. Žulj;26;Austria;AUT;72;3800000;25000;Right;CF;Attack
M. Barrow;25;Gambia;GMB;72;3700000;25000;Left;LW;Attack
I. Hayden;23;England;GBR;72;3700000;25000;Right;CDM;Midfield
Rômulo Calsede;30;Brazil;BRA;72;3000000;25000;Left;ST;Attack
I. Lewczuk;33;Poland;POL;72;1300000;25000;Right;CB;Defense
P. Crouch;37;England;GBR;72;1100000;25000;Right;ST;Attack
